latitude,longitude,elevation
-1.467084427,33.31830005,1134
-1.467084427,33.32728321,1134
-1.467084427,33.33626636,1134
-1.467084427,33.34524951,1134
-1.467084427,33.35423267,1134
-1.467084427,33.36321582,1134
-1.467084427,33.37219897,1134
-1.467084427,33.38118212,1134
-1.467084427,33.39016528,1134
-1.467084427,33.39914843,1134
-1.467084427,33.40813158,1134
-1.467084427,33.41711474,1134
-1.467084427,33.42609789,1134
-1.467084427,33.43508104,1134
-1.467084427,33.44406419,1134
-1.467084427,33.45304735,1134
-1.467084427,33.4620305,1134
-1.47606758,32.73439512,1134
-1.47606758,32.74337827,1134
-1.47606758,32.75236143,1134
-1.47606758,32.76134458,1134
-1.47606758,32.77032773,1134
-1.47606758,32.77931088,1134
-1.47606758,32.78829404,1134
-1.47606758,32.79727719,1134
-1.47606758,32.80626034,1134
-1.47606758,32.8152435,1134
-1.47606758,32.82422665,1134
-1.47606758,32.8332098,1134
-1.47606758,32.84219295,1134
-1.47606758,32.85117611,1134
-1.47606758,32.86015926,1134
-1.47606758,32.86914241,1134
-1.47606758,32.87812557,1134
-1.47606758,32.88710872,1134
-1.47606758,32.89609187,1134
-1.47606758,32.90507502,1134
-1.47606758,32.91405818,1134
-1.47606758,32.92304133,1134
-1.47606758,32.93202448,1134
-1.47606758,32.94100764,1134
-1.47606758,32.94999079,1134
-1.47606758,32.95897394,1134
-1.47606758,32.96795709,1134
-1.47606758,32.97694025,1134
-1.47606758,32.9859234,1134
-1.47606758,32.99490655,1134
-1.47606758,33.00388971,1134
-1.47606758,33.01287286,1134
-1.47606758,33.02185601,1134
-1.47606758,33.03083916,1134
-1.47606758,33.03982232,1134
-1.47606758,33.04880547,1134
-1.47606758,33.05778862,1134
-1.47606758,33.06677177,1134
-1.47606758,33.07575493,1134
-1.47606758,33.08473808,1134
-1.47606758,33.09372123,1134
-1.47606758,33.10270439,1134
-1.47606758,33.11168754,1134
-1.47606758,33.12067069,1134
-1.47606758,33.12965384,1134
-1.47606758,33.138637,1134
-1.47606758,33.14762015,1134
-1.47606758,33.1566033,1134
